BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year,QueryType_raw,mismatch_score,is_mismatch
VAZHOOR,Plantation Crops,2024-05-13 15:48:30.190,Coconut,KOTTAYAM,1128602,Suggested to apply 100g Borax per year.,Asked about the Button shedding in Coconut.,Nutrient Management,,HORTICULTURE,KERALA,13,5,2024,Nutrient Management,1.0,True
PALLOM,Fruits,2024-05-17 11:13:13.190,Banana,KOTTAYAM,1158096,Suggested to apply 100g AYAR per plant.,Asked about the application of AYAR in banana.,Nutrient Management,,HORTICULTURE,KERALA,17,5,2024,Nutrient Management,0.623311257664684,True
ERATTUPETTA,Others,2024-05-18 06:17:42.723,Others,KOTTAYAM,1164874,There is high chance of rainfall today,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,18,5,2024,Weather,1.0,True
ETTUMANOOR,Vegetables,2024-05-21 12:47:47.890,Brinjal,KOTTAYAM,1183883,Suggested to spray pseudomonas 20g per liters of water,Asked about management of sooty mold in brinjal,Plant Protection,,HORTICULTURE,KERALA,21,5,2024,Plant Protection,1.0,True
ETTUMANOOR,Fruits,2024-05-31 21:49:51.460,Mango,KOTTAYAM,1242843,"Padding 2,4-D (1gm in 20ml soaked in sponge or oasis) kept in few nodal points of roots, after scraping the basal of parasite.",Asked about the Control of Loranthus in mango.,Plant Protection,,HORTICULTURE,KERALA,31,5,2024,Plant Protection,1.0,True
MAVELIKKARA,Condiments and Spices,2024-05-06 12:34:50.773,Ginger,ALAPPUZHA,1074159,"Apply  rock phosphate 1100 gram and Muriate of Potash 160 gram at the time of planting  for a cent.The second dose has to apply in 60 days after planting and the dosage is 325 gram urea. After 90 days apply 320 gram urea and 160 gram Muriate of Potash for a cent.
Lime or dolomite @ 1-3 kg per cent has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 120 kg/cent is recommended at planting time.",Asked about nutrient management of ginger,Nutrient Management,,HORTICULTURE,KERALA,6,5,2024,Nutrient Management,1.0,True
ARYAD,Fruits,2024-05-06 15:41:15.507,Mango,ALAPPUZHA,1073910,Suggested to spray Borax 1g/L.,Asked about the Fruit dropping in Mango.,Nutrient Management,,HORTICULTURE,KERALA,6,5,2024,Nutrient Management,1.0,True
BHARANICAVU,Vegetables,2024-05-07 11:51:16.697,Brinjal,ALAPPUZHA,1082225,Suggested to spray Planofix @ 2ml per 10 litre water.,Asked about management of bud dropping in brinjal,Cultural Practices,,HORTICULTURE,KERALA,7,5,2024,Cultural Practices,1.0,True
MAVELIKKARA,Condiments and Spices,2024-05-10 11:12:39.297,Pepper,ALAPPUZHA,1106400,Suggested to spray 19:19:19 NPK mix in pepper 5g per liters of water,Asked about dosage of 19:19:19 NPK mix in pepper,Nutrient Management,,HORTICULTURE,KERALA,10,5,2024,Nutrient Management,0.17504276580655698,False
AMBALAPPUZHA,Flowers,2024-05-14 18:53:22.977,Rose,ALAPPUZHA,1136311,Suggested to spray nimbicidine and cypermethrin alternately on rose plants,Asked about management of thrips in rose,Plant Protection,,HORTICULTURE,KERALA,14,5,2024,Plant Protection,0.8382318646760698,True
KANJIKKUZHY,Plantation Crops,2024-05-16 15:45:31.730,Coconut,ALAPPUZHA,1151114,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram rajphos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",Asked about the potassium deficiency in Coconut.,Plant Protection,,HORTICULTURE,KERALA,16,5,2024,Plant Protection,0.9860074132164307,True
AMBALAPPUZHA,Vegetables,2024-05-17 11:15:35.323,Curry Leaf,ALAPPUZHA,1158066,Suggested to spray turmeric + garlic in 1 liters of water,Asked about management of leaf eating caterpillar in curry leaf,Plant Protection,,HORTICULTURE,KERALA,17,5,2024,Plant Protection,1.0,True
AMBALAPPUZHA,Vegetables,2024-05-17 11:18:11.193,Chillies,ALAPPUZHA,1158067,"Suggested to spray Fish Jaggery mixture 5-10 ml/liter of water.
preparation of Fish Jaggery mixture - Take 1 kg sardine and slice it into small pieces. Take 1 kg Jaggery and also slice it into small pieces. Add both into an air tight plastic jar of sufficient size in layers. While adding, take care to have a jaggery layer at the top. Do not add water. Keep it airtight and away from direct sun light for about 30-40 days.","Asked about less flowering in chillies, preparation of Fish Jaggery mixture",Organic Farming,,HORTICULTURE,KERALA,17,5,2024,Organic Farming,0.6033320363659818,True
AMBALAPPUZHA,Fruits,2024-05-17 11:19:13.013,Banana,ALAPPUZHA,1158069,"Suggested to apply neem cake , ground nut cake, ash in banana basin",Asked about nutrient management in banana,Nutrient Management,,HORTICULTURE,KERALA,17,5,2024,Nutrient Management,0.9391327397256473,True
AMBALAPPUZHA,Flowers,2024-05-26 19:06:33.930,Rose,ALAPPUZHA,1216116,Suggested to avoid hydrogen peroxide drenching at rootzone since the soil is already wet,Asked about application of Hydrogen peroxide for increasing oxygen supply in rootzone,Nutrient Management,,HORTICULTURE,KERALA,26,5,2024,Nutrient Management,0.4693008389593354,False
KANJIKKUZHY,Fruits,2024-05-30 11:53:39.163,Banana,ALAPPUZHA,1232405,Suggested to apply 50g borax and spray KNO3 3g per liters of water,Asked about nutrient management in banana,Nutrient Management,,HORTICULTURE,KERALA,30,5,2024,Nutrient Management,1.0,True
0   ,Plantation Crops,2024-05-08 18:30:32.210,Coconut,KOLLAM,1088794,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. After 2 weeks apply 50 g borax. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively. After 2 weeks apply 50 g borax.",Asked about the nutrient deficiency in coconut.,Nutrient Management,,HORTICULTURE,KERALA,8,5,2024,Nutrient Management,0.9874236553433567,True
BALUSSERI,Condiments and Spices,2024-06-06 09:29:15.807,Nutmeg,KOZHIKODE,1281119,average yield of nutmeg -A tree of 15 years and above will yield about 1000 - 2000 or more fruits,Asked about average yield of nutmeg in kerala,Cultural Practices,,HORTICULTURE,KERALA,6,6,2024,Cultural Practices,0.36057373169040674,False
KOZHIKODE,Plantation Crops,2024-06-07 11:05:15.033,Teak,KOZHIKODE,1288738,Apply 220g 18:9:18 NPK fertilizer per plant per year for teak,Asked about nutrient management for teak,Nutrient Management,,HORTICULTURE,KERALA,7,6,2024,Nutrient Management,0.7689247756359218,True
PANTHALAYANI,Plantation Crops,2024-06-09 09:45:40.853,Arecanut,KOZHIKODE,1305560,"Suggested to apply cow dung , ash and bone meal",Asked about nutrient management in areca nut,Nutrient Management,,HORTICULTURE,KERALA,9,6,2024,Nutrient Management,1.0,True
KODUVALLY,Plantation Crops,2024-06-13 16:31:02.207,Coconut,KOZHIKODE,1348518,Spray 1% Bordeaux mixture,Asked about management of fruit rot in coconut,Plant Protection,,HORTICULTURE,KERALA,13,6,2024,Plant Protection,1.0,True
KOZHIKODE,Vegetables,2024-06-15 18:20:32.763,Cowpea (Vegetable),KOZHIKODE,1371346,"1%Bordeux mixture(100 l)-dissolve 1 kg powdered cus04 in 50 l water.dissolve 1 kg lime in 50 l water in another vessel.pour cus04 solution to lime solution and mix well.
use wooden vessel or mudvessel.",Asked about the preparation of Bordeux mixture,Plant Protection,,HORTICULTURE,KERALA,15,6,2024,Plant Protection,0.8076162427139388,True
PERAMBRA,Fruits,2024-06-16 18:05:32.967,Jack Fruit,KOZHIKODE,1382708,A plant grown from a seed taken from a budded mother does not necessarily exhibit identical properties.,The question asks about a jackfruit variety that maintains the same quality as the mother plant when grown from seed.,Cultural Practices,,HORTICULTURE,KERALA,16,6,2024,Cultural Practices,0.4178627465810655,False
KUNNAMANGALAM,Others,2024-06-19 13:01:18.610,Others,KOZHIKODE,1428844,Suggested to apply Ant killer,Asked about control of Ants,Plant Protection,,AGRICULTURE,KERALA,19,6,2024,Plant Protection,1.0,True
MELDAY,Vegetables,2024-06-19 17:59:18.960,Cowpea (Vegetable),KOZHIKODE,1428894,Spray Beauveria bassiana @ 20g/L,Asked about management of fruit borer in cucumber,Plant Protection,,HORTICULTURE,KERALA,19,6,2024,Plant Protection,1.0,True
KODUVALLY,Condiments and Spices,2024-06-22 10:56:10.753,Nutmeg,KOZHIKODE,1480330,Suggested to apply borax @ 50g per plant during April-June and September-October.,Asked about management of immature nut fall in nutmeg,Nutrient Management,,HORTICULTURE,KERALA,22,6,2024,Nutrient Management,1.0,True
KOZHIKODE,Plantation Crops,2024-06-22 18:28:42.053,Rubber,KOZHIKODE,1487096,"Suggested to apply NPK in all the crops like coconut, Arecanut, Rubber etc.
N.P.K plays a crucial role in ensuring the health and productivity of your plants and crops. It provides the essential nutrients needed for optimal plant health and growth, photosynthesis, root development, reproduction, and stress resilience.","Asked about the application of NPK in Rubber, Coconut, Arecanut.",Nutrient Management,,HORTICULTURE,KERALA,22,6,2024,Nutrient Management,0.7459502652774297,True
BALUSSERI,Fruits,2024-06-25 15:53:18.600,Papaya,KOZHIKODE,1516291,Suggested to spray 2g Borax and 5g Potassium nitrate in one litre of water,Asked about nutrient management in Papaya,Nutrient Management,,HORTICULTURE,KERALA,25,6,2024,Nutrient Management,1.0,True
VADAKARA,Fruits,2024-06-25 16:00:10.647,Papaya,KOZHIKODE,1516290,Suggested to spray pottassium nitrate 5g/L.,Asked about the flower and fruit inducing technique for Papaya.,Plant Protection,,HORTICULTURE,KERALA,25,6,2024,Plant Protection,1.0,True
PANTHALAYANI,Others,2024-06-29 09:34:37.700,Others,KOZHIKODE,1576385,suggested that urea and DAP can be applied together,Asked about application of urea and DAP together,Nutrient Management,,AGRICULTURE,KERALA,29,6,2024,Nutrient Management,0.47984150378311285,False
CHELANNUR,Condiments and Spices,2024-06-29 20:44:17.623,Pepper,KOZHIKODE,1576395,"Suggested to apply 10kg FYM, 500g Neem cake. 500g Ash, 2kg Vermicompost with biofertilizer.
Suggested to apply 110g Urea, 280g Rajphos, 250g Pottash.-PEPPER",Asked about the application of fertilizer during flowering stage.,Nutrient Management,,HORTICULTURE,KERALA,29,6,2024,Nutrient Management,1.0,True
CHELANNUR,Plantation Crops,2024-06-29 20:45:52.020,Coconut,KOZHIKODE,1576394,Suggested to soil drench with Copper Oxychloride 3g/L for coconut wilt.,Asked about the management of Wilt disease in Coconut.,Plant Protection,,HORTICULTURE,KERALA,29,6,2024,Plant Protection,0.8436370561858664,True
KANHANGAD,Others,2024-06-05 17:03:26.723,Others,KASARGOD,1273697,"Suggested Weather forecast district kasargod,periya - There is 90% chances for rainfall today and upcoming days. Today's expected maximum temperature is  29°C and minimum temperature of 24°C and wind speed is likely to run at  10 kilometres per hour. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,5,6,2024,Weather,0.9433800049969027,True
KASARGOD,Plantation Crops,2024-06-06 10:53:01.030,Arecanut,KASARGOD,1281110,"Apply 70g Urea, 70g Rajphos and 80g Potash per pant during March-April.",Arecanut - Fertilizer - 2 year,Nutrient Management,,HORTICULTURE,KERALA,6,6,2024,Nutrient Management,1.0,True
KANHANGAD,Others,2024-06-08 17:26:15.040,Others,KASARGOD,1297441,suggested to apply 2kg neemcake and 2kg bonemeal to coconut,Asked about application of neemcake  and bonemeal to coconut,Nutrient Management,,AGRICULTURE,KERALA,8,6,2024,Nutrient Management,0.5048857507547245,True
KASARGOD,Plantation Crops,2024-06-13 17:49:48.007,Arecanut,KASARGOD,1348440,You can spray all 18 fertilizer @ 5-10g/L to all the crops. Spray Urea @ 5g/L to all growing crops. You can apply Mussooriephos to plants @ 15g or you can mix it with soil for potting mixture,Asked about dosage for fertilizers and expiry date,Nutrient Management,,HORTICULTURE,KERALA,13,6,2024,Nutrient Management,1.0,True
KANHANGAD,Plantation Crops,2024-06-17 10:45:03.917,Arecanut,KASARGOD,1394272,Suggested to give at least 10 days interval before giving organic manure slurry to the areca nut plants,Asked about Nutrient management in Areca nut,Nutrient Management,,HORTICULTURE,KERALA,17,6,2024,Nutrient Management,0.5924356321877497,True
KASARGOD,Condiments and Spices,2024-06-21 16:28:39.157,Ginger,KASARGOD,1475491,Suggested to apply lime or dolomite @ 1Kg for a cent at weeks ahead of fertilizer application.,Asked about application of lime to the ginger,Nutrient Management,,HORTICULTURE,KERALA,21,6,2024,Nutrient Management,0.8803376457624319,True
KASARGOD,Condiments and Spices,2024-06-21 16:30:33.437,Ginger,KASARGOD,1475490,Suggested to treat the ginger rhizomes before planting with Carbendazim @ 1g per litre cowdung.,Asked preplant treatment of ginger rhizomes,Plant Protection,,HORTICULTURE,KERALA,21,6,2024,Plant Protection,0.6255502495871054,True
CHADAYAMANGALAM,Others,2024-06-01 10:20:10.657,Others,KOLLAM,1247394,"For coconut 1st year-120g urea,220g potash ,200g rajphos
2nd year-240g urea ,400g rajphos,445g potash
3rd year-360g urea,600g rajphos,670g potash",Asked about nutrient management in coconut,Nutrient Management,,AGRICULTURE,KERALA,1,6,2024,Nutrient Management,0.9707346234766236,True
CHADAYAMANGALAM,Plantation Crops,2024-06-01 11:06:21.227,Coconut,KOLLAM,1247393,Suggested to apply Mgso4 250g in coconut,Asked about Mgso4 application in coconut,Nutrient Management,,HORTICULTURE,KERALA,1,6,2024,Nutrient Management,0.4883439988941771,False
ITHIKKARA,Plantation Crops,2024-06-03 15:10:15.480,Coconut,KOLLAM,1264755,Clean the crown and pour Mancozeb 75 WP @ 5g/ 300ml water. Also place sachets containing 3-4g Mancozeb 75 WP,Asked about management of bud rot in coconut,Plant Protection,,HORTICULTURE,KERALA,3,6,2024,Plant Protection,1.0,True
OACHIRA,Plantation Crops,2024-06-05 10:58:53.703,Coconut,KOLLAM,1273726,Suggested to apply lime 1kg after 2 weeks apply micronutrient mix/borax 100g,Asked about management of barren nuts in coconut,Nutrient Management,,HORTICULTURE,KERALA,5,6,2024,Nutrient Management,1.0,True
EDAKKAD,Fruits,2024-05-08 11:25:59.477,Mango,KANNUR,1090387,"For management of leaf cutting weevil in mango, remove and burn the cut down leaves on alternative days. Spray Beauveria bassiana @ 20g per litre water on tender leaves.",Asked about management of leaf cutting weevil in coconut,Plant Protection,,HORTICULTURE,KERALA,8,5,2024,Plant Protection,0.5855441147686951,True
THALASSERY,Vegetables,2024-05-09 15:51:08.433,Ivy Gourd,KANNUR,1096438,Suggested to Spray Verticilium 20g/L,Asked about the management of Aphids in Ivy Gourd.,Plant Protection,,HORTICULTURE,KERALA,9,5,2024,Plant Protection,1.0,True
EDAKKAD,Fruits,2024-05-10 10:41:33.830,Mango,KANNUR,1106312,suggested to prune webbed leaf  and spray lambda cyhalothrin 1 ml per liter of water for leaf webbing in mango,Asked about management of leaf webber in mango,Plant Protection,,HORTICULTURE,KERALA,10,5,2024,Plant Protection,0.8652870955817559,True
KANNUR,Plantation Crops,2024-05-17 12:02:37.137,Arecanut,KANNUR,1158029,Suggested to apply 3kg FYM/Cowdung + 1kg ash +1kg neem cake + 1kg bonemeal,Asked about the organic nutrient management in Arecanut.,Nutrient Management,,HORTICULTURE,KERALA,17,5,2024,Nutrient Management,1.0,True
KANNUR,Plantation Crops,2024-05-17 12:06:22.840,Arecanut,KANNUR,1158028,"The first split has to be applied in September-October. The urea, rock phosphate, Muriate of Potash needed at this time is 74 gram, 80 gram, 80 gram respectively per plant.
The second dose has to apply in March-April and the dosage is 70 gram urea, 70 gram rock phosphate, 80gram Muriate of Potash respectively.
Organic manure @ 12 kg/plant is recommended per year per plant. Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application.- ARECANUT",Asked about the nutrient management of Arecanut.,Nutrient Management,,HORTICULTURE,KERALA,17,5,2024,Nutrient Management,0.9705428880808652,True
TALIPARAMBA,Condiments and Spices,2024-05-20 07:16:09.153,Pepper,KANNUR,1177285,Suggested to apply aquamin40 1ml per liters of water,Asked about nutrient management in pepper,Nutrient Management,,HORTICULTURE,KERALA,20,5,2024,Nutrient Management,1.0,True
IRITTY,Plantation Crops,2024-05-20 13:06:48.390,Cocoa,KANNUR,1177310,"Suggested to apply lime @ 1 Kg per plant at two weeeks ahead of fertilizer application. Apply 220g Urea, 220g Rajphos and 230g Potash per plant during April-June. Apply 220g Urea, 220g Rajphos and 230g Potash per plant during September-October. Apply 20 Kg organic manure per plant per year.",Asked about nutrient management in cocoa,Nutrient Management,,HORTICULTURE,KERALA,20,5,2024,Nutrient Management,1.0,True
THALASSERY,Others,2024-05-23 08:49:52.863,Others,KANNUR,1196916,Suggested to spray pseudomonas 20g per liters of water,Asked about prophylactic measures against fungal diseases in rambutan,Plant Protection,,AGRICULTURE,KERALA,23,5,2024,Plant Protection,1.0,True
KANNUR,Condiments and Spices,2024-05-24 11:00:55.070,Pepper,KANNUR,1203517,Spray micronutrient mix @ 5g/L,Asked about management mosaic symptoms in black pepper,Nutrient Management,,HORTICULTURE,KERALA,24,5,2024,Nutrient Management,1.0,True
IRITTY,Others,2024-05-24 16:54:48.563,Others,KANNUR,1203440,Suggested to apply Ash OR Spray Pottassium nitrate 3g/L,Asked about the pottasium deficiency in Pashion fruit.,Nutrient Management,,AGRICULTURE,KERALA,24,5,2024,Nutrient Management,1.0,True
PERAVOOR,Others,2024-05-25 12:01:52.333,Others,KANNUR,1209646,Weather forecast tholambra - There is only 40% chance for rainfall today and 80% chance for tomorrow . Today's expected maximum temperature is  29°C and minimum temperature of 25°C and wind speed is likely to run at 11 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,25,5,2024,Weather,0.9446298205423226,True
PAYYANNUR,Others,2024-05-25 12:38:13.667,Others,KANNUR,1209653,"Recommended to apply Organic manure @ 12 kg/plant every year. Apply lime @ 500 g per plant at two weeks ahead of fertilizer application.The first split has to be applied in April-June. The dosage is 110 gram Urea, 110 gram Raj phos and 120 gram Potash respectively. The second dose has to be applied in September-October and the dosage is 110 gram Urea, 110 gram Rajphos and 120 gram Potash respectively.",Asked about nutrient management of arecanut,Nutrient Management,,AGRICULTURE,KERALA,25,5,2024,Nutrient Management,1.0,True
THALASSERY,Plantation Crops,2024-05-30 10:05:32.450,Coconut,KANNUR,1230888,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram rajphos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",Asked about nutrient management in coconut,Nutrient Management,,HORTICULTURE,KERALA,30,5,2024,Nutrient Management,0.9794617122056354,True
AREAKODE,Vegetables,2024-05-12 09:41:32.663,Chillies,MALAPPURAM,1121543,"Recommended to spray neem oil garlic emulsion (20ml neem oil+20g garlic+5g barsoap+1 litre water) or Azadirachtin @ 5ml per litre water.
Spray Verticillium @ 20g per litre water.",Asked about management of leaf curling in chilli plants,Plant Protection,,HORTICULTURE,KERALA,12,5,2024,Plant Protection,1.0,True
VENGARA,Plantation Crops,2024-05-15 12:03:19.290,Coconut,MALAPPURAM,1144010,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg at two weeks before fertilizer application. The first split has to be applied in April-June. The dosage is 500g Urea, 750g Rajphos and 1kg Potash per palm respectively. The second dose has to be applied in September-October and the dosage is 500g Urea, 750g Rrajphos, 1kg Potash per palm respectively.",Asked about nutrient management in coconut,Nutrient Management,,HORTICULTURE,KERALA,15,5,2024,Nutrient Management,0.9780628692170147,True
MANKADA,Others,2024-05-16 21:36:22.373,Others,MALAPPURAM,1151111,"Weather forecast for district, Puzhakkattiri, Kerala. There is a chance for rainfall today and upcoming days. Today's maximum temperature is 33°C and minimum temperature is 25°C.Wind is expected to run at 5km/hr. Schedule agriculture operations as per the weather forecast.",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,16,5,2024,Weather,0.9425200098848499,True
PONNANI,Others,2024-05-19 06:11:45.093,Others,MALAPPURAM,1170961,Weather forecast Ponnani - There is 75% chance for rainfall today . Today's expected maximum temperature is  31°C and minimum temperature of 26°C and wind speed is likely to run at 11 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,19,5,2024,Weather,0.9403410655096147,True
VENGARA,Fruits,2024-05-19 10:46:32.453,Guava,MALAPPURAM,1170931,Suggested to spray Potassium nitrate 5g per litre of water,Asked about nutrient management for flowering in guava,Nutrient Management,,HORTICULTURE,KERALA,19,5,2024,Nutrient Management,1.0,True
AREAKODE,Plantation Crops,2024-05-20 10:06:34.590,Arecanut,MALAPPURAM,1177362,Suggested to apply lime @ 1 Kg per arecanut palm per year.,Asked about application of lime to arecanut,Nutrient Management,,HORTICULTURE,KERALA,20,5,2024,Nutrient Management,0.802959480159227,True
MALAPPURAM,Plantation Crops,2024-05-20 19:21:06.853,Coconut,MALAPPURAM,1177351,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram rajphos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",Asked about nutrient management of mature coconut,Nutrient Management,,HORTICULTURE,KERALA,20,5,2024,Nutrient Management,0.9865917573715192,True
TIRURANGADI,Fruits,2024-05-21 17:12:36.187,Mango,MALAPPURAM,1183923,suggested that Pits of size 1 m x 1 m x 1 m are made at a spacing of 9 m one month before planting. The pits are filled with a mixture of topsoil and 10 kg of compost to ground level.,Asked about spacing of mango,Field Preparation,,HORTICULTURE,KERALA,21,5,2024,Field Preparation,0.9058948830694387,True
0   ,Fruits,2024-05-22 16:23:40.810,Mango,PALAKKAD,1190659,"Dr. Simi S-Assistant Professor & Head of Department of Fruit Science,College of Agriculture, Vellayani
Mobile Phone No: +91 9946867991
Dr.Rafeekher M-Assistant Professor and Head of Department of Floriculture and Landscape Architecture,College of Agriculture, Vellayani,Mobile Phone No: 9446730290
Dr. Jyothi Bhaskar-Professor and Head of Department of Fruit Science,College of Agriculture, Vellanikkara
Mobile Phone No: 9447918330",Asked about contact number of department of fruit science.,Seeds and Planting Material,,HORTICULTURE,KERALA,22,5,2024,Seeds and Planting Material,0.6673797219829493,True
0   ,Fruits,2024-05-22 16:31:05.570,Mango,PALAKKAD,1190658,"KAU Sales Counter,Mannuthy,Thrissur,Kerala-Phone no: 0487 237 0540
Mannuthyfarms-phone no:+919633016606,+918590854611
State Seed Farm, Mannuthy,Phone no: +91-9496003619",Asked about contact number of farms in thrissur,Seeds and Planting Material,,HORTICULTURE,KERALA,22,5,2024,Seeds and Planting Material,0.9217437425554081,True
MANNARKAD,Condiments and Spices,2024-05-23 16:34:57.173,Nutmeg,PALAKKAD,1196982,"Recommended that for Nutmeg, apply organic manure @ 10 kg/plant every year. Apply lime @ 750 g per plant at two weeks ahead of fertilizer application.The first split has to be applied in April-June. The dosage is 180 gram Urea, 400 gram Raj phos and 340 gram Potash respectively. The second dose has to be applied in September-October and the dosage is 340 gram Urea, 400 gram Rajphos and 340 gram Potash respectively.",Asked about nutrient management for nutmeg,Nutrient Management,,HORTICULTURE,KERALA,23,5,2024,Nutrient Management,0.9682882816979587,True
