case_id,variant,crop,state,season
ALAPPUZHA_Pepper,"Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Water Management, Micro Irrigation -> Plant Protection -> Nutrient Management",Pepper,KERALA,
ALAPPUZHA_Pumpkin,Fertilizer Use and Availability,Pumpkin,KERALA,
ALAPPUZHA_Ridge Gourd,Plant Protection -> Plant Protection,Ridge Gourd,KERALA,
ALAPPUZHA_Rose,"Water Management, Micro Irrigation -> Water Management, Micro Irrigation -> Nutrient Management -> Cultural Practices -> Field Preparation -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Field Preparation -> Organic Farming -> Nutrient Management -> Cultural Practices -> Cultural Practices -> Water Management, Micro Irrigation -> Plant Protection -> Plant Protection -> Agriculture Mechanization -> Plant Protection -> Plant Protection -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Cultural Practices -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Cultural Practices -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Cultural Practices -> Field Preparation -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Organic Farming",Rose,KERALA,
ALAPPUZHA_Sapota,Nutrient Management,Sapota,KERALA,
ALAPPUZHA_Snake Gourd,Nutrient Management -> Plant Protection -> Organic Farming,Snake Gourd,KERALA,
ALAPPUZHA_Sponge Gourd,Plant Protection,Sponge Gourd,KERALA,
ALAPPUZHA_Sugarcane (Noble Cane),Nutrient Management,Sugarcane (Noble Cane),KERALA,
ALAPPUZHA_Tapioca (Cassava),Nutrient Management,Tapioca (Cassava),KERALA,
ALAPPUZHA_Tomato,Plant Protection -> Nutrient Management,Tomato,KERALA,
ALAPPUZHA_Turkey,Disease Management,Turkey,KERALA,
ALAPPUZHA_Turmeric,Nutrient Management,Turmeric,KERALA,
ERNAKULAM_Acid Lime,Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection,Acid Lime,KERALA,
ERNAKULAM_African Sarson,Weather,African Sarson,KERALA,
ERNAKULAM_Almond,Weather -> Weather,Almond,KERALA,
ERNAKULAM_Aloe Vera,Organic Farming -> Weather,Aloe Vera,KERALA,
ERNAKULAM_Amaranthus/Grain Amaranthus,Field Preparation -> Cultural Practices -> Plant Protection -> Cultural Practices,Amaranthus/Grain Amaranthus,KERALA,
ERNAKULAM_Amarphophallus (Surankand/Elephant Foot Yam),Seeds and Planting Material -> Plant Protection -> Seeds and Planting Material,Amarphophallus (Surankand/Elephant Foot Yam),KERALA,
ERNAKULAM_Anthurium,Nutrient Management -> Plant Protection -> Nutrient Management,Anthurium,KERALA,
ERNAKULAM_Aonla,Plant Protection,Aonla,KERALA,
ERNAKULAM_Arecanut,Plant Protection -> Plant Protection -> Field Preparation -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Nutrient Management -> Field Preparation -> Cultural Practices -> Plant Protection -> Field Preparation -> Seeds and Planting Material -> Seeds and Planting Material -> Seeds and Planting Material -> Weather -> Field Preparation -> Seeds and Planting Material -> Seeds and Planting Material -> Nursery Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Seeds and Planting Material -> Market Information -> Nursery Management -> Field Preparation -> Cultural Practices -> Plant Protection,Arecanut,KERALA,
ERNAKULAM_Ash Gourd (Petha),Plant Protection -> Plant Protection -> Plant Protection,Ash Gourd (Petha),KERALA,
ERNAKULAM_Avacado,Nutrient Management -> Cultural Practices,Avacado,KERALA,
ERNAKULAM_Banana,"Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Vegetative Propagation and Tissue Culture -> Nutrient Management -> Field Preparation -> Nutrient Management -> Field Preparation -> Seeds and Planting Material -> Plant Protection -> Cultural Practices -> Nutrient Management -> Water Management, Micro Irrigation -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Field Preparation -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Field Preparation -> Plant Protection -> Weather -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Field Preparation -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Cultural Practices -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management",Banana,KERALA,
ERNAKULAM_Beet Root (Garden Beet/Stock Beet),Field Preparation -> Field Preparation,Beet Root (Garden Beet/Stock Beet),KERALA,
ERNAKULAM_Ber,Nutrient Management -> Cultural Practices,Ber,KERALA,
ERNAKULAM_Betel Vine,Weather,Betel Vine,KERALA,
ERNAKULAM_Bhindi(Okra/Ladysfinger),Plant Protection -> Nutrient Management -> Plant Protection -> Organic Farming -> Field Preparation -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection,Bhindi(Okra/Ladysfinger),KERALA,
ERNAKULAM_Bitter Gourd,Nutrient Management -> Cultural Practices -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Bitter Gourd,KERALA,
ERNAKULAM_Bottle Gourd,Plant Protection,Bottle Gourd,KERALA,
"ERNAKULAM_Bovine(Cow,Buffalo)",Animal Nutrition -> Cattle shed Planning and Management,"Bovine(Cow,Buffalo)",KERALA,
ERNAKULAM_Brinjal,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices,Brinjal,KERALA,
ERNAKULAM_Carrot,Field Preparation,Carrot,KERALA,
ERNAKULAM_Cashew,Nutrient Management,Cashew,KERALA,
ERNAKULAM_Cauliflower,Cultural Practices,Cauliflower,KERALA,
ERNAKULAM_Chillies,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection,Chillies,KERALA,
ERNAKULAM_Citrus,Nutrient Management -> Nutrient Management -> Nutrient Management,Citrus,KERALA,
ERNAKULAM_Cluster Bean,Plant Protection -> Plant Protection,Cluster Bean,KERALA,
ERNAKULAM_Cocoa,Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Field Preparation -> Field Preparation -> Field Preparation -> Nutrient Management -> Field Preparation -> Nutrient Management -> Plant Protection,Cocoa,KERALA,
ERNAKULAM_Coconut,"Nutrient Management -> Seeds and Planting Material -> Field Preparation -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Organic Farming -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Field Preparation -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Cultural Practices -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Agriculture Mechanization -> Nutrient Management -> Nutrient Management -> Agriculture Mechanization -> Nutrient Management -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Seeds and Planting Material -> Seeds and Planting Material -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Water Management, Micro Irrigation -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Water Management, Micro Irrigation -> Water Management, Micro Irrigation -> Seeds and Planting Material -> Water Management, Micro Irrigation -> Water Management, Micro Irrigation -> Nutrient Management -> Plant Protection -> Plant Protection -> Water Management, Micro Irrigation -> Nutrient Management -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection",Coconut,KERALA,
"ERNAKULAM_Colocasia (Arvi, Arbi)",Field Preparation -> Seeds and Planting Material -> Seeds and Planting Material -> Plant Protection,"Colocasia (Arvi, Arbi)",KERALA,
ERNAKULAM_Cowpea (Vegetable),Seeds and Planting Material -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Cultural Practices -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Seeds and Planting Material,Cowpea (Vegetable),KERALA,
ERNAKULAM_Cucumber,"Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Seeds and Planting Material -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Cultural Practices -> Water Management, Micro Irrigation -> Water Management, Micro Irrigation -> Plant Protection -> Nutrient Management",Cucumber,KERALA,
ERNAKULAM_Curry Leaf,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Curry Leaf,KERALA,
ERNAKULAM_Custard Apple,Nutrient Management -> Plant Protection,Custard Apple,KERALA,
ERNAKULAM_DatePalm,Seeds and Planting Material,DatePalm,KERALA,
ERNAKULAM_Drum Stick,"Water Management, Micro Irrigation -> Seeds and Planting Material -> Field Preparation -> Seeds and Planting Material -> Seeds and Planting Material -> Water Management, Micro Irrigation -> Nutrient Management",Drum Stick,KERALA,
ERNAKULAM_Fig,"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Plant Protection -> Nutrient Management",Fig,KERALA,
ERNAKULAM_Ginger,Field Preparation -> Cultural Practices -> Nutrient Management -> Plant Protection -> Plant Protection -> Seeds and Planting Material,Ginger,KERALA,
ERNAKULAM_Grape,Cultural Practices -> Nutrient Management -> Nutrient Management,Grape,KERALA,
ERNAKULAM_Greater Yam,Field Preparation,Greater Yam,KERALA,
ERNAKULAM_Guava,Nutrient Management -> Seeds and Planting Material -> Weather -> Plant Protection -> Plant Protection -> Plant Protection -> Vegetative Propagation and Tissue Culture -> Plant Protection -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management,Guava,KERALA,
ERNAKULAM_Indian Bean (Vegetable),Plant Protection -> Weather,Indian Bean (Vegetable),KERALA,
ERNAKULAM_Ivy Gourd,"Nutrient Management -> Agriculture Mechanization -> Water Management, Micro Irrigation -> Nutrient Management -> Nutrient Management",Ivy Gourd,KERALA,
ERNAKULAM_Jack Fruit,Plant Protection -> Cultural Practices -> Plant Protection -> Nutrient Management -> Cultural Practices -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Nutrient Management,Jack Fruit,KERALA,
ERNAKULAM_Jamun,Nutrient Management,Jamun,KERALA,
ERNAKULAM_Jasmine,Nutrient Management,Jasmine,KERALA,
ERNAKULAM_Kaner,Plant Protection,Kaner,KERALA,
ERNAKULAM_Kokum,Plant Protection,Kokum,KERALA,
ERNAKULAM_Large Cardamom,Nutrient Management,Large Cardamom,KERALA,
ERNAKULAM_Lemon,Nutrient Management -> Nutrient Management,Lemon,KERALA,
ERNAKULAM_Litchi,Nutrient Management -> Field Preparation -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material,Litchi,KERALA,
ERNAKULAM_Little Millet (Samai/Kutki/kodo-kutki),Post Harvest Preservation,Little Millet (Samai/Kutki/kodo-kutki),KERALA,
ERNAKULAM_Mango,"Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Water Management, Micro Irrigation -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Weather -> Nutrient Management -> Cultural Practices -> Seeds and Planting Material -> Seeds and Planting Material -> Vegetative Propagation and Tissue Culture -> Seeds and Planting Material -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Cultural Practices -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Field Preparation -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection",Mango,KERALA,
ERNAKULAM_Marigold,Plant Protection -> Agriculture Mechanization -> Seeds and Planting Material -> Plant Protection,Marigold,KERALA,
ERNAKULAM_Mosambi,Nutrient Management,Mosambi,KERALA,
ERNAKULAM_Napier Grass,Nutrient Management,Napier Grass,KERALA,
ERNAKULAM_Nutmeg,Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Field Preparation -> Seeds and Planting Material -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Water Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Organic Farming -> Plant Protection,Nutmeg,KERALA,
ERNAKULAM_Other,"Varieties -> Cultural Practices -> Plant Protection -> Tank, Pond and Reservoir Management",Other,KERALA,
ERNAKULAM_POULTRY  FARM,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",POULTRY  FARM,KERALA,
ERNAKULAM_Paddy (Dhan),Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Sowing Time and Weather -> Varieties -> Seeds -> Plant Protection -> Weed Management -> Nutrient Management -> Nutrient Management -> Plant Protection,Paddy (Dhan),KERALA,
ERNAKULAM_Papaya,Seeds and Planting Material -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection,Papaya,KERALA,
ERNAKULAM_Passion Fruit,Plant Protection -> Nutrient Management,Passion Fruit,KERALA,
ERNAKULAM_Pepper,Plant Protection -> Plant Protection -> Seeds and Planting Material -> Nutrient Management -> Nutrient Management -> Agriculture Mechanization -> Seeds and Planting Material -> Seeds and Planting Material -> Seeds and Planting Material -> Nutrient Management -> Nutrient Management -> Seeds and Planting Material -> Plant Protection -> Nutrient Management,Pepper,KERALA,
ERNAKULAM_Pineapple,"Agriculture Mechanization -> Nursery Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.) -> Nutrient Management -> Nutrient Management",Pineapple,KERALA,
ERNAKULAM_Pomegranate,Plant Protection,Pomegranate,KERALA,
ERNAKULAM_Pumpkin,Plant Protection -> Nutrient Management,Pumpkin,KERALA,
ERNAKULAM_Ridge Gourd,Nutrient Management -> Nutrient Management,Ridge Gourd,KERALA,
ERNAKULAM_Rose,Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management,Rose,KERALA,
ERNAKULAM_Rubber,Plant Protection -> Seeds and Planting Material -> Plant Protection,Rubber,KERALA,
ERNAKULAM_Saffron,Plant Protection,Saffron,KERALA,
ERNAKULAM_Sandal Wood,Nutrient Management -> Plant Protection -> Plant Protection,Sandal Wood,KERALA,
ERNAKULAM_Sapota,Nutrient Management -> Fertilizer Use and Availability -> Plant Protection -> Plant Protection -> Plant Protection,Sapota,KERALA,
ERNAKULAM_Sesame (Gingelly/Til)/Sesamum,Water Management -> Sowing Time and Weather,Sesame (Gingelly/Til)/Sesamum,KERALA,
ERNAKULAM_Snake Gourd,Plant Protection -> Nutrient Management,Snake Gourd,KERALA,
ERNAKULAM_Sponge Gourd,Cultural Practices,Sponge Gourd,KERALA,
ERNAKULAM_Tapioca (Cassava),Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Seeds -> Varieties -> Field Preparation -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection,Tapioca (Cassava),KERALA,
ERNAKULAM_Teak,Seeds and Planting Material -> Plant Protection -> Cultural Practices,Teak,KERALA,
ERNAKULAM_Tomato,Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management,Tomato,KERALA,
ERNAKULAM_Turmeric,Plant Protection,Turmeric,KERALA,
IDUKKI_Acid Lime,Plant Protection,Acid Lime,KERALA,
IDUKKI_Amaranthus/Grain Amaranthus,Plant Protection -> Plant Protection,Amaranthus/Grain Amaranthus,KERALA,
