case_id,n_events,n_repeats,loop_rate,crop,state
ERNAKULAM_Jasmine,1,0,0.0,Jasmine,KERALA
ERNAKULAM_Kaner,1,0,0.0,Kaner,KERALA
ERNAKULAM_Kokum,1,0,0.0,Kokum,KERALA
ERNAKULAM_Large Cardamom,1,0,0.0,Large Cardamom,KERALA
ERNAKULAM_Lemon,2,1,0.5,Lemon,KERALA
ERNAKULAM_Litchi,5,2,0.4,Litchi,KERALA
ERNAKULAM_Little Millet (Samai/Kutki/kodo-kutki),1,0,0.0,Little Millet (Samai/Kutki/kodo-kutki),KERALA
ERNAKULAM_Mango,54,46,0.8518518518518519,Mango,KERALA
ERNAKULAM_Marigold,4,1,0.25,Marigold,KERALA
ERNAKULAM_Mosambi,1,0,0.0,Mosambi,KERALA
ERNAKULAM_Napier Grass,1,0,0.0,Napier Grass,KERALA
ERNAKULAM_Nutmeg,64,57,0.890625,Nutmeg,KERALA
ERNAKULAM_Other,4,0,0.0,Other,KERALA
ERNAKULAM_POULTRY  FARM,1,0,0.0,POULTRY  FARM,KERALA
ERNAKULAM_Paddy (Dhan),12,6,0.5,Paddy (Dhan),KERALA
ERNAKULAM_Papaya,13,10,0.7692307692307693,Papaya,KERALA
ERNAKULAM_Passion Fruit,2,0,0.0,Passion Fruit,KERALA
ERNAKULAM_Pepper,14,10,0.7142857142857143,Pepper,KERALA
ERNAKULAM_Pineapple,8,4,0.5,Pineapple,KERALA
ERNAKULAM_Pomegranate,1,0,0.0,Pomegranate,KERALA
ERNAKULAM_Pumpkin,2,0,0.0,Pumpkin,KERALA
ERNAKULAM_Ridge Gourd,2,1,0.5,Ridge Gourd,KERALA
ERNAKULAM_Rose,6,4,0.6666666666666666,Rose,KERALA
ERNAKULAM_Rubber,3,1,0.3333333333333333,Rubber,KERALA
ERNAKULAM_Saffron,1,0,0.0,Saffron,KERALA
ERNAKULAM_Sandal Wood,3,1,0.3333333333333333,Sandal Wood,KERALA
ERNAKULAM_Sapota,5,2,0.4,Sapota,KERALA
ERNAKULAM_Sesame (Gingelly/Til)/Sesamum,2,0,0.0,Sesame (Gingelly/Til)/Sesamum,KERALA
ERNAKULAM_Snake Gourd,2,0,0.0,Snake Gourd,KERALA
ERNAKULAM_Sponge Gourd,1,0,0.0,Sponge Gourd,KERALA
ERNAKULAM_Tapioca (Cassava),14,9,0.6428571428571429,Tapioca (Cassava),KERALA
ERNAKULAM_Teak,3,0,0.0,Teak,KERALA
ERNAKULAM_Tomato,18,16,0.8888888888888888,Tomato,KERALA
ERNAKULAM_Turmeric,1,0,0.0,Turmeric,KERALA
IDUKKI_Acid Lime,1,0,0.0,Acid Lime,KERALA
IDUKKI_Amaranthus/Grain Amaranthus,2,1,0.5,Amaranthus/Grain Amaranthus,KERALA
IDUKKI_Amarphophallus (Surankand/Elephant Foot Yam),1,0,0.0,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
IDUKKI_Apple,2,1,0.5,Apple,KERALA
IDUKKI_Apricot,1,0,0.0,Apricot,KERALA
IDUKKI_Arecanut,10,7,0.7,Arecanut,KERALA
IDUKKI_Avacado,5,0,0.0,Avacado,KERALA
IDUKKI_Bail,1,0,0.0,Bail,KERALA
IDUKKI_Banana,22,18,0.8181818181818182,Banana,KERALA
IDUKKI_Beans,2,1,0.5,Beans,KERALA
IDUKKI_Betel Vine,1,0,0.0,Betel Vine,KERALA
IDUKKI_Bhindi(Okra/Ladysfinger),7,4,0.5714285714285714,Bhindi(Okra/Ladysfinger),KERALA
IDUKKI_Bitter Gourd,7,4,0.5714285714285714,Bitter Gourd,KERALA
IDUKKI_Brinjal,1,0,0.0,Brinjal,KERALA
IDUKKI_Cabbage,2,0,0.0,Cabbage,KERALA
IDUKKI_Cardamom,77,70,0.9090909090909091,Cardamom,KERALA
IDUKKI_Cashew,3,1,0.3333333333333333,Cashew,KERALA
IDUKKI_Chillies,5,3,0.6,Chillies,KERALA
IDUKKI_Clove,2,0,0.0,Clove,KERALA
IDUKKI_Cocoa,18,16,0.8888888888888888,Cocoa,KERALA
IDUKKI_Coconut,26,22,0.8461538461538461,Coconut,KERALA
IDUKKI_Coffee,1,0,0.0,Coffee,KERALA
IDUKKI_Cowpea (Vegetable),14,12,0.8571428571428571,Cowpea (Vegetable),KERALA
IDUKKI_Cucumber,4,2,0.5,Cucumber,KERALA
IDUKKI_Dog,2,1,0.5,Dog,KERALA
IDUKKI_Drum Stick,1,0,0.0,Drum Stick,KERALA
IDUKKI_Ginger,9,5,0.5555555555555556,Ginger,KERALA
IDUKKI_Grape,1,0,0.0,Grape,KERALA
IDUKKI_Indian Bean (Vegetable),1,0,0.0,Indian Bean (Vegetable),KERALA
IDUKKI_Ivy Gourd,3,1,0.3333333333333333,Ivy Gourd,KERALA
IDUKKI_Jack Fruit,2,0,0.0,Jack Fruit,KERALA
IDUKKI_Large Cardamom,4,1,0.25,Large Cardamom,KERALA
IDUKKI_Lemon,1,0,0.0,Lemon,KERALA
IDUKKI_Mango,10,7,0.7,Mango,KERALA
IDUKKI_Mentha,1,0,0.0,Mentha,KERALA
IDUKKI_Nutmeg,19,16,0.8421052631578947,Nutmeg,KERALA
IDUKKI_POULTRY  FARM,1,0,0.0,POULTRY  FARM,KERALA
IDUKKI_Paddy (Dhan),1,0,0.0,Paddy (Dhan),KERALA
IDUKKI_Papaya,3,0,0.0,Papaya,KERALA
IDUKKI_Pepper,19,14,0.7368421052631579,Pepper,KERALA
IDUKKI_Pomegranate,3,1,0.3333333333333333,Pomegranate,KERALA
IDUKKI_Rubber,8,5,0.625,Rubber,KERALA
IDUKKI_Sandal Wood,2,0,0.0,Sandal Wood,KERALA
IDUKKI_Sapota,1,0,0.0,Sapota,KERALA
IDUKKI_Tapioca (Cassava),9,3,0.3333333333333333,Tapioca (Cassava),KERALA
IDUKKI_Tomato,2,0,0.0,Tomato,KERALA
IDUKKI_Vanilla,1,0,0.0,Vanilla,KERALA
KANNUR_Acid Lime,1,0,0.0,Acid Lime,KERALA
KANNUR_Amaranthus/Grain Amaranthus,6,3,0.5,Amaranthus/Grain Amaranthus,KERALA
KANNUR_Arecanut,74,67,0.9054054054054054,Arecanut,KERALA
KANNUR_Ash Gourd (Petha),2,0,0.0,Ash Gourd (Petha),KERALA
KANNUR_Avacado,2,0,0.0,Avacado,KERALA
KANNUR_Banana,35,31,0.8857142857142857,Banana,KERALA
KANNUR_Betel Vine,1,0,0.0,Betel Vine,KERALA
KANNUR_Bhindi(Okra/Ladysfinger),6,1,0.16666666666666666,Bhindi(Okra/Ladysfinger),KERALA
KANNUR_Bitter Gourd,10,7,0.7,Bitter Gourd,KERALA
KANNUR_Bottle Gourd,2,1,0.5,Bottle Gourd,KERALA
"KANNUR_Bovine(Cow,Buffalo)",2,1,0.5,"Bovine(Cow,Buffalo)",KERALA
KANNUR_Brinjal,9,8,0.8888888888888888,Brinjal,KERALA
KANNUR_Cardamom,1,0,0.0,Cardamom,KERALA
KANNUR_Cashew,8,4,0.5,Cashew,KERALA
KANNUR_Chillies,14,10,0.7142857142857143,Chillies,KERALA
KANNUR_Clove,1,0,0.0,Clove,KERALA
KANNUR_Cocoa,11,7,0.6363636363636364,Cocoa,KERALA
KANNUR_Coconut,101,94,0.9306930693069307,Coconut,KERALA
KANNUR_Coffee,1,0,0.0,Coffee,KERALA
"KANNUR_Colocasia (Arvi, Arbi)",1,0,0.0,"Colocasia (Arvi, Arbi)",KERALA
KANNUR_Cowpea (Vegetable),10,7,0.7,Cowpea (Vegetable),KERALA
KANNUR_Cucumber,15,12,0.8,Cucumber,KERALA
KANNUR_Curry Leaf,2,0,0.0,Curry Leaf,KERALA
KANNUR_Dolichos Bean,1,0,0.0,Dolichos Bean,KERALA
KANNUR_Fig,1,0,0.0,Fig,KERALA
KANNUR_Ginger,6,1,0.16666666666666666,Ginger,KERALA
KANNUR_Goat,1,0,0.0,Goat,KERALA
KANNUR_Grape,1,0,0.0,Grape,KERALA
KANNUR_Guava,1,0,0.0,Guava,KERALA
KANNUR_Guineafowl,1,0,0.0,Guineafowl,KERALA
KANNUR_Hibiscus (Gurhal),2,0,0.0,Hibiscus (Gurhal),KERALA
KANNUR_Ivy Gourd,5,3,0.6,Ivy Gourd,KERALA
KANNUR_Jack Fruit,9,4,0.4444444444444444,Jack Fruit,KERALA
KANNUR_Lemon,3,1,0.3333333333333333,Lemon,KERALA
KANNUR_Mango,26,21,0.8076923076923077,Mango,KERALA
KANNUR_Marigold,3,1,0.3333333333333333,Marigold,KERALA
KANNUR_Mosambi,1,0,0.0,Mosambi,KERALA
KANNUR_Nutmeg,7,5,0.7142857142857143,Nutmeg,KERALA
KANNUR_Oil palm,1,0,0.0,Oil palm,KERALA
KANNUR_Paddy (Dhan),8,4,0.5,Paddy (Dhan),KERALA
KANNUR_Papaya,11,9,0.8181818181818182,Papaya,KERALA
KANNUR_Passion Fruit,1,0,0.0,Passion Fruit,KERALA
KANNUR_Pepper,73,63,0.863013698630137,Pepper,KERALA
KANNUR_Pineapple,1,0,0.0,Pineapple,KERALA
KANNUR_Ridge Gourd,1,0,0.0,Ridge Gourd,KERALA
KANNUR_Rubber,15,10,0.6666666666666666,Rubber,KERALA
KANNUR_Sapota,2,0,0.0,Sapota,KERALA
KANNUR_Tapioca (Cassava),10,7,0.7,Tapioca (Cassava),KERALA
KANNUR_Teak,1,0,0.0,Teak,KERALA
KANNUR_Tomato,6,4,0.6666666666666666,Tomato,KERALA
KANNUR_Turmeric,8,3,0.375,Turmeric,KERALA
KASARGOD_Amaranthus/Grain Amaranthus,3,1,0.3333333333333333,Amaranthus/Grain Amaranthus,KERALA
KASARGOD_Amarphophallus (Surankand/Elephant Foot Yam),1,0,0.0,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KASARGOD_Arecanut,52,46,0.8846153846153846,Arecanut,KERALA
KASARGOD_Banana,15,12,0.8,Banana,KERALA
KASARGOD_Betel Vine,1,0,0.0,Betel Vine,KERALA
KASARGOD_Bhindi(Okra/Ladysfinger),1,0,0.0,Bhindi(Okra/Ladysfinger),KERALA
KASARGOD_Bitter Gourd,5,3,0.6,Bitter Gourd,KERALA
KASARGOD_Bottle Gourd,2,0,0.0,Bottle Gourd,KERALA
"KASARGOD_Bovine(Cow,Buffalo)",3,1,0.3333333333333333,"Bovine(Cow,Buffalo)",KERALA
KASARGOD_Brinjal,2,0,0.0,Brinjal,KERALA
KASARGOD_Cashew,2,1,0.5,Cashew,KERALA
KASARGOD_Cauliflower,1,0,0.0,Cauliflower,KERALA
KASARGOD_Chillies,5,3,0.6,Chillies,KERALA
KASARGOD_China Astor,1,0,0.0,China Astor,KERALA
KASARGOD_Chrysanthemum,1,0,0.0,Chrysanthemum,KERALA
KASARGOD_Cocoa,1,0,0.0,Cocoa,KERALA
KASARGOD_Coconut,22,16,0.7272727272727273,Coconut,KERALA
KASARGOD_Coffee,1,0,0.0,Coffee,KERALA
KASARGOD_Cowpea (Vegetable),5,3,0.6,Cowpea (Vegetable),KERALA
KASARGOD_Cucumber,3,0,0.0,Cucumber,KERALA
KASARGOD_Drum Stick,1,0,0.0,Drum Stick,KERALA
KASARGOD_Fresh Water,2,0,0.0,Fresh Water,KERALA
KASARGOD_Ginger,6,3,0.5,Ginger,KERALA
KASARGOD_Goat,1,0,0.0,Goat,KERALA
KASARGOD_Ivy Gourd,4,2,0.5,Ivy Gourd,KERALA
KASARGOD_Jasmine,1,0,0.0,Jasmine,KERALA
KASARGOD_Mango,4,2,0.5,Mango,KERALA
KASARGOD_Marigold,2,0,0.0,Marigold,KERALA
KASARGOD_Nutmeg,2,0,0.0,Nutmeg,KERALA
KASARGOD_Oil palm,1,0,0.0,Oil palm,KERALA
KASARGOD_Paddy (Dhan),10,5,0.5,Paddy (Dhan),KERALA
KASARGOD_Pepper,5,1,0.2,Pepper,KERALA
KASARGOD_Rubber,12,5,0.4166666666666667,Rubber,KERALA
KASARGOD_Sorghum (Jowar/Great Millet),1,0,0.0,Sorghum (Jowar/Great Millet),KERALA
KASARGOD_Sweet Potato,1,0,0.0,Sweet Potato,KERALA
KASARGOD_Tapioca (Cassava),1,0,0.0,Tapioca (Cassava),KERALA
KASARGOD_Tomato,2,0,0.0,Tomato,KERALA
KASARGOD_Watermelon,1,0,0.0,Watermelon,KERALA
KOLLAM_Acid Lime,1,0,0.0,Acid Lime,KERALA
KOLLAM_Amaranthus/Grain Amaranthus,2,0,0.0,Amaranthus/Grain Amaranthus,KERALA
KOLLAM_Aonla,1,0,0.0,Aonla,KERALA
KOLLAM_Arecanut,4,1,0.25,Arecanut,KERALA
KOLLAM_Avacado,2,0,0.0,Avacado,KERALA
KOLLAM_Banana,37,31,0.8378378378378378,Banana,KERALA
KOLLAM_Beekeeping,2,1,0.5,Beekeeping,KERALA
KOLLAM_Bhindi(Okra/Ladysfinger),1,0,0.0,Bhindi(Okra/Ladysfinger),KERALA
KOLLAM_Bitter Gourd,3,2,0.6666666666666666,Bitter Gourd,KERALA
KOLLAM_Bottle Gourd,1,0,0.0,Bottle Gourd,KERALA
KOLLAM_Brinjal,1,0,0.0,Brinjal,KERALA
KOLLAM_Cashew,2,1,0.5,Cashew,KERALA
KOLLAM_Chillies,7,4,0.5714285714285714,Chillies,KERALA
KOLLAM_Coconut,52,47,0.9038461538461539,Coconut,KERALA
KOLLAM_Coffee,1,0,0.0,Coffee,KERALA
KOLLAM_Cowpea (Vegetable),12,10,0.8333333333333334,Cowpea (Vegetable),KERALA
KOLLAM_Cucumber,4,1,0.25,Cucumber,KERALA
KOLLAM_Dog,1,0,0.0,Dog,KERALA
KOLLAM_Drum Stick,1,0,0.0,Drum Stick,KERALA
KOLLAM_Ginger,3,1,0.3333333333333333,Ginger,KERALA
KOLLAM_Guava,3,1,0.3333333333333333,Guava,KERALA
KOLLAM_Ivy Gourd,2,0,0.0,Ivy Gourd,KERALA
KOLLAM_Jack Fruit,11,8,0.7272727272727273,Jack Fruit,KERALA
KOLLAM_Kiwi Fruit,1,0,0.0,Kiwi Fruit,KERALA
KOLLAM_Kokum,1,0,0.0,Kokum,KERALA
KOLLAM_Litchi,1,0,0.0,Litchi,KERALA
KOLLAM_Loquat,1,0,0.0,Loquat,KERALA
KOLLAM_Mango,15,12,0.8,Mango,KERALA
KOLLAM_Nutmeg,1,0,0.0,Nutmeg,KERALA
KOLLAM_POULTRY  FARM,1,0,0.0,POULTRY  FARM,KERALA
KOLLAM_Paddy (Dhan),1,0,0.0,Paddy (Dhan),KERALA
KOLLAM_Passion Fruit,1,0,0.0,Passion Fruit,KERALA
KOLLAM_Pea (Vegetable),1,0,0.0,Pea (Vegetable),KERALA
KOLLAM_Pepper,4,2,0.5,Pepper,KERALA
KOLLAM_Pineapple,1,0,0.0,Pineapple,KERALA
KOLLAM_Rose,1,0,0.0,Rose,KERALA
KOLLAM_Rubber,12,8,0.6666666666666666,Rubber,KERALA
KOLLAM_Sugarcane (Noble Cane),2,0,0.0,Sugarcane (Noble Cane),KERALA
KOLLAM_Tapioca (Cassava),5,2,0.4,Tapioca (Cassava),KERALA
KOLLAM_Tomato,3,1,0.3333333333333333,Tomato,KERALA
KOLLAM_Turmeric,3,1,0.3333333333333333,Turmeric,KERALA
KOTTAYAM_Amaranthus/Grain Amaranthus,1,0,0.0,Amaranthus/Grain Amaranthus,KERALA
KOTTAYAM_Amarphophallus (Surankand/Elephant Foot Yam),3,0,0.0,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KOTTAYAM_Anthurium,1,0,0.0,Anthurium,KERALA
KOTTAYAM_Aonla,1,0,0.0,Aonla,KERALA
KOTTAYAM_Apple,1,0,0.0,Apple,KERALA
KOTTAYAM_Arecanut,11,7,0.6363636363636364,Arecanut,KERALA
KOTTAYAM_Ash Gourd (Petha),1,0,0.0,Ash Gourd (Petha),KERALA
KOTTAYAM_Bail,1,0,0.0,Bail,KERALA
KOTTAYAM_Banana,48,38,0.7916666666666666,Banana,KERALA
KOTTAYAM_Betel Vine,1,0,0.0,Betel Vine,KERALA
KOTTAYAM_Bhindi(Okra/Ladysfinger),12,8,0.6666666666666666,Bhindi(Okra/Ladysfinger),KERALA
KOTTAYAM_Bitter Gourd,1,0,0.0,Bitter Gourd,KERALA
KOTTAYAM_Brinjal,3,1,0.3333333333333333,Brinjal,KERALA
KOTTAYAM_Chillies,14,9,0.6428571428571429,Chillies,KERALA
KOTTAYAM_Cinnamon,1,0,0.0,Cinnamon,KERALA
KOTTAYAM_Citrus,3,1,0.3333333333333333,Citrus,KERALA
KOTTAYAM_Cocoa,3,1,0.3333333333333333,Cocoa,KERALA
KOTTAYAM_Coconut,81,74,0.9135802469135802,Coconut,KERALA
KOTTAYAM_Coffee,1,0,0.0,Coffee,KERALA
"KOTTAYAM_Colocasia (Arvi, Arbi)",3,1,0.3333333333333333,"Colocasia (Arvi, Arbi)",KERALA
KOTTAYAM_Cowpea (Vegetable),14,12,0.8571428571428571,Cowpea (Vegetable),KERALA
KOTTAYAM_Curry Leaf,2,1,0.5,Curry Leaf,KERALA
KOTTAYAM_Custard Apple,2,0,0.0,Custard Apple,KERALA
KOTTAYAM_Drum Stick,2,1,0.5,Drum Stick,KERALA
KOTTAYAM_Ginger,6,3,0.5,Ginger,KERALA
KOTTAYAM_Grape,2,0,0.0,Grape,KERALA
KOTTAYAM_Guava,2,1,0.5,Guava,KERALA
KOTTAYAM_Ivy Gourd,6,4,0.6666666666666666,Ivy Gourd,KERALA
KOTTAYAM_Jack Fruit,16,11,0.6875,Jack Fruit,KERALA
KOTTAYAM_Kokum,1,0,0.0,Kokum,KERALA
KOTTAYAM_Lemon,1,0,0.0,Lemon,KERALA
KOTTAYAM_Mango,28,22,0.7857142857142857,Mango,KERALA
KOTTAYAM_Nutmeg,37,33,0.8918918918918919,Nutmeg,KERALA
KOTTAYAM_Oats,1,0,0.0,Oats,KERALA
KOTTAYAM_Onion,1,0,0.0,Onion,KERALA
KOTTAYAM_Orange,3,1,0.3333333333333333,Orange,KERALA
KOTTAYAM_Other,1,0,0.0,Other,KERALA
KOTTAYAM_Paddy (Dhan),13,8,0.6153846153846154,Paddy (Dhan),KERALA
KOTTAYAM_Papaya,10,5,0.5,Papaya,KERALA
KOTTAYAM_Pea (Vegetable),1,0,0.0,Pea (Vegetable),KERALA
KOTTAYAM_Pepper,20,14,0.7,Pepper,KERALA
KOTTAYAM_Pineapple,1,0,0.0,Pineapple,KERALA
KOTTAYAM_Pomegranate,3,0,0.0,Pomegranate,KERALA
KOTTAYAM_Pumpkin,2,1,0.5,Pumpkin,KERALA
KOTTAYAM_Rose,3,1,0.3333333333333333,Rose,KERALA
KOTTAYAM_Rubber,10,7,0.7,Rubber,KERALA
KOTTAYAM_Sapota,2,0,0.0,Sapota,KERALA
KOTTAYAM_Snake Gourd,2,0,0.0,Snake Gourd,KERALA
KOTTAYAM_Sweet Potato,1,0,0.0,Sweet Potato,KERALA
KOTTAYAM_Tapioca (Cassava),18,11,0.6111111111111112,Tapioca (Cassava),KERALA
KOTTAYAM_Teak,2,1,0.5,Teak,KERALA
KOTTAYAM_Tomato,5,3,0.6,Tomato,KERALA
KOTTAYAM_Turmeric,1,0,0.0,Turmeric,KERALA
KOZHIKODE_Acid Lime,2,0,0.0,Acid Lime,KERALA
KOZHIKODE_Aloe Vera,1,0,0.0,Aloe Vera,KERALA
KOZHIKODE_Amaranthus/Grain Amaranthus,6,2,0.3333333333333333,Amaranthus/Grain Amaranthus,KERALA
KOZHIKODE_Amarphophallus (Surankand/Elephant Foot Yam),1,0,0.0,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
KOZHIKODE_Aonla,2,1,0.5,Aonla,KERALA
KOZHIKODE_Arecanut,43,36,0.8372093023255814,Arecanut,KERALA
KOZHIKODE_Ash Gourd (Petha),7,4,0.5714285714285714,Ash Gourd (Petha),KERALA
KOZHIKODE_Avacado,1,0,0.0,Avacado,KERALA
KOZHIKODE_Bail,1,0,0.0,Bail,KERALA
KOZHIKODE_Banana,45,37,0.8222222222222222,Banana,KERALA
KOZHIKODE_Beekeeping,2,0,0.0,Beekeeping,KERALA
KOZHIKODE_Ber,3,2,0.6666666666666666,Ber,KERALA
