BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
KAZHAKUTTAM,Others,2024-05-04T10:23:20.96,Others,TRIVANDRUM,1061799,"Suggested to contact Krishibhavan.
Registration number: KL287779968",Asked to check beneficiary status of PM Kisan.,Government Schemes,NA,AGRICULTURE,KERALA,4,5,2024
0   ,Others,2024-05-04T10:50:59.267,Others,TRIVANDRUM,1061838,"AIF survey
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,4,5,2024
0   ,Others,2024-05-05T08:37:46.49,Others,TRIVANDRUM,1068495,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,5,5,2024
ATHIYANNOOR,Others,2024-05-05T11:12:59.607,Others,TRIVANDRUM,1068479,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,5,5,2024
KILIMANOOR,Others,2024-05-05T11:47:31.86,Others,TRIVANDRUM,1068474,Test call,Test call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,5,5,2024
0   ,Others,2024-05-06T09:52:28.253,Others,TRIVANDRUM,1073989,AIF Survey,AIF Survey,Government Schemes,NA,AGRICULTURE,KERALA,6,5,2024
0   ,Others,2024-05-06T10:16:17.927,Others,TRIVANDRUM,1074004,"Helpline for Applicants:- 011-23604888
Email ID-
Helpline for Bank Officials:- 011-23604914
Email ID-
Helpline for State Officials:- 011-23604884
Email ID-
Helpline numbers are available on (Mon-Fri working days) during office hours.",AIF Survey,Government Schemes,NA,AGRICULTURE,KERALA,6,5,2024
PARASSALA,Others,2024-05-06T12:11:57.587,Others,TRIVANDRUM,1073936,"suggested to contact National Institute for Rubber Training;
Tel. No. : 91-481-2353127, 2353168, 2351313, 2353325, 2353201",Asked about schemes for rubber cultivation,Government Schemes,NA,AGRICULTURE,KERALA,6,5,2024
KILIMANOOR,Others,2024-05-07T06:15:47.207,Others,TRIVANDRUM,1082015,TEST CALL,TEST CALL,Training and Exposure Visits,NA,AGRICULTURE,KERALA,7,5,2024
KILIMANOOR,Others,2024-05-07T12:38:54.137,Others,TRIVANDRUM,1082017,test call,test call,Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
KILIMANOOR,Others,2024-05-07T12:41:12.577,Others,TRIVANDRUM,1082019,test call,test call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,7,5,2024
ATHIYANNOOR,Others,2024-05-07T12:48:58.947,Others,TRIVANDRUM,1082027,Test call,Test call,Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
NEDUMANGAD,Others,2024-05-07T13:20:59.753,Others,TRIVANDRUM,1082026,registration number KL213746495,"Asked query related to PM Kisan Samman Nidhi scheme
",Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
PARASSALA,Others,2024-05-08T18:22:57.117,Others,TRIVANDRUM,1090355,Suggested to spray Potassium nitrate 5g per litre of water,Asked about low fruit setting of mulberry,Government Schemes,NA,AGRICULTURE,KERALA,8,5,2024
KILIMANOOR,Others,2024-05-09T14:47:16.8,Others,TRIVANDRUM,1098711,TEST CALL,TEST CALL,Training and Exposure Visits,NA,AGRICULTURE,KERALA,9,5,2024
0   ,Others,2024-05-09T16:01:37.893,Others,TRIVANDRUM,1098809,"Thank you for your response
Kindly call 18001801551 if have any queries related to agriculture.","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,9,5,2024
0   ,Others,2024-05-10T08:23:35.66,Others,TRIVANDRUM,1106320,AIF SURVEY,AIF SURVEY,Government Schemes,NA,AGRICULTURE,KERALA,10,5,2024
0   ,Others,2024-05-10T14:56:49.297,Others,TRIVANDRUM,1106373,Kindly call 18001801551 if have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,10,5,2024
KILIMANOOR,Others,2024-05-10T18:17:32.6,Others,TRIVANDRUM,1106297,TEST CALL,TEST CALL,Training and Exposure Visits,NA,AGRICULTURE,KERALA,10,5,2024
KILIMANOOR,Others,2024-05-10T18:27:32.137,Others,TRIVANDRUM,1106298,OUT CALL,OUT CALL ,Training and Exposure Visits,NA,AGRICULTURE,KERALA,10,5,2024
0   ,Others,2024-05-11T18:25:35.46,Others,TRIVANDRUM,1113519,"Thank you for your response
Kindly call 18001801551 if have any queries related to agriculture.
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,11,5,2024
KILIMANOOR,Others,2024-05-12T06:23:07.82,Others,TRIVANDRUM,1121550,TEST CALL,TEST CALL,Training and Exposure Visits,NA,AGRICULTURE,KERALA,12,5,2024
0   ,Others,2024-05-13T12:47:51.58,Others,TRIVANDRUM,1128704,"Thankyou for your response
Kindly call 18001801551 if you have any queries related to agriculture.","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,13,5,2024
VELLANAD,Others,2024-05-15T13:35:19.17,Others,TRIVANDRUM,1144023,"
Suggested to call again with registration details or Aadhaar number for checking PM Kisan beneficiary status.
","Asked query related to PM Kisan Samman Nidhi scheme
",Government Schemes,NA,AGRICULTURE,KERALA,15,5,2024
0   ,Others,2024-05-16T19:34:01.833,Others,TRIVANDRUM,1151145,--Kindly call 18001801551 if have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,16,5,2024
PARASSALA,Others,2024-05-17T14:41:52.87,Others,TRIVANDRUM,1158081,"Suggested to contacct
Toll-Free Kisan Credit Card Helpline Number: 1800-115-526,  011-24300606, 
Tolled Credit Card Helpline Number: 0120-6025109/155261
",Asked query related to Kisan Credit Card scheme,Government Schemes,NA,AGRICULTURE,KERALA,17,5,2024
KILIMANOOR,Others,2024-05-19T17:31:28.963,Others,TRIVANDRUM,1170955,Test call,Test call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,19,5,2024
CHIRAYINKEEZHU,Others,2024-05-21T10:10:57.437,Others,TRIVANDRUM,1184002,Kindly call 18001801551 if you have any queries related to agriculture.,Blank call,Government Schemes,NA,AGRICULTURE,KERALA,21,5,2024
0   ,Others,2024-05-22T13:52:27.287,Others,TRIVANDRUM,1190655,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,22,5,2024
KILIMANOOR,Others,2024-05-23T11:21:10.853,Others,TRIVANDRUM,1196935,Suggested to wait for next installment,Asked about PM Kisan ,Government Schemes,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-23T12:18:18.837,Others,TRIVANDRUM,1197007,Kindly call 18001801551 if have any queries related to agriculture.,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-23T12:37:40.76,Others,TRIVANDRUM,1197023,"Thankyou for your response
Kindly call 18001801551 if you have any queries related to agriculture.",AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-23T17:33:35.363,Others,TRIVANDRUM,1197063,"Kindly call 18001801551 if have any queries related to agriculture.
",Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,23,5,2024
THIRUVANANTHAPURAM RURAL,Others,2024-05-24T11:39:59.573,Others,TRIVANDRUM,1203460,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,24,5,2024
ATHIYANNOOR,Others,2024-05-25T16:30:59.67,Others,TRIVANDRUM,1209655,"Suggested to wait for information regarding 17th installment of PM Kisan Samman Nidhi
","Asked query related to PM Kisan Samman Nidhi scheme
",Government Schemes,NA,AGRICULTURE,KERALA,25,5,2024
KAZHAKUTTAM,Fruits,2024-05-27T19:50:28.027,Banana,TRIVANDRUM,1222151,"The first split has to applied in 2 months after planting. The urea-195g, rock phosphate-500g, Muriate of Potash-300g per plant.The second dose has to apply in 4 months after planting and the dosage is 195 gram urea, 490 gram rock phosphate, 300 gram Muriate of Potash respectively.Lime  has to be applied in acid soils two weeks ahead of fertilizer application. ",Asked about nutrient management of banana,Nutrient Management,NA,HORTICULTURE,KERALA,27,5,2024
KAZHAKUTTAM,Others,2024-05-28T06:06:30.01,Others,TRIVANDRUM,1226058,Weather forecast Kazhakootam - There is 50% chance for rainfall today . Today's expected maximum temperature is  29°C and minimum temperature of 26°C and wind speed is likely to run at 23 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,NA,AGRICULTURE,KERALA,28,5,2024
KILIMANOOR,Others,2024-05-29T18:45:13.29,Others,TRIVANDRUM,1228297,TEST CALL,TEST CALL,Training and Exposure Visits,NA,AGRICULTURE,KERALA,29,5,2024
NEMOM,Others,2024-05-30T10:04:05.21,Others,TRIVANDRUM,1230893,Suggested to call again with OTP,Asked about PM Kisan ,Government Schemes,NA,AGRICULTURE,KERALA,30,5,2024
0   ,Others,2024-05-30T15:25:29.047,Others,TRIVANDRUM,1235128,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,30,5,2024
KAZHAKUTTAM,Others,2024-05-31T15:31:25.553,Others,TRIVANDRUM,1242844,"Weather forecast for Kazhakkoottam, Kerala- There are no possibility for rainfall in Today. Tomorrow's expected maximum temperature is 31oC and minimum temperature is 27oC. Wind speed is likely to run at 21 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,NA,AGRICULTURE,KERALA,31,5,2024
ERATTUPETTA,Others,2024-05-01T19:01:46.717,Others,KOTTAYAM,1047671,there is 50%chance for rainfall today,Farmer asked query on Weather,Weather,NA,AGRICULTURE,KERALA,1,5,2024
0   ,Others,2024-05-02T12:29:59.763,Others,KOTTAYAM,1049810,Kindly call 18001801551 if you have any queries related to agriculture.,wrong party,Training and Exposure Visits,NA,AGRICULTURE,KERALA,2,5,2024
0   ,Others,2024-05-03T16:08:50.217,Others,KOTTAYAM,1055154,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
0   ,Others,2024-05-03T16:10:16.523,Others,KOTTAYAM,1055155,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
VAIKOM,Fruits,2024-05-04T08:21:46.023,Pomegranate,KOTTAYAM,1061791,Suggested to spray borax @ 2g per litre water.,Asked about management of fruit cracking in pomegranate,	Plant Protection	,NA,HORTICULTURE,KERALA,4,5,2024
VAIKOM,Fruits,2024-05-04T08:28:32.953,Pomegranate,KOTTAYAM,1061792,"The ingredients for preparation of fish jaggery mixture are sardine 1 kg and jaggery 1 kg. Take 1 kg sardine and slice it into small pieces. Take 1 kg Jaggery and also slice it into small pieces. Add both into an air tight plastic jar of sufficient size in layers. While adding, take care to have a jaggery layer at the top. Do not add water. Keep it airtight and away from direct sun light for about 30-40 days.
1 kg sardine and 1 kg Jaggery will give about 1.5 liters of fish jiggery mixture. Filter the extract and use it. It can be stored up to 3 months. Apply 5-10 ml/liter of water as growth promoter.",Asked about preparation of fish jaggery mixture,Organic Farming,NA,HORTICULTURE,KERALA,4,5,2024
0   ,Others,2024-05-04T11:12:35.253,Others,KOTTAYAM,1061846,Kindly call 18001801551 if have any queries related to agriculture.,"AIF survey
",Training and Exposure Visits,NA,AGRICULTURE,KERALA,4,5,2024
0   ,Others,2024-05-05T09:27:01.66,Others,KOTTAYAM,1068515,Kindly call 18001801551 if you have any queries related to agriculture.,AIF SURVEY ,Training and Exposure Visits,NA,AGRICULTURE,KERALA,5,5,2024
ETTUMANOOR,Flowers,2024-05-05T19:27:26.823,Rose,KOTTAYAM,1068491,Suggested to apply DAP granules of 2-6 per plant.,Asked about the nutrient management for Rose.,Nutrient Management,NA,HORTICULTURE,KERALA,5,5,2024
0   ,Others,2024-05-06T09:20:27.417,Others,KOTTAYAM,1073980,"Shri Samuel P.Kumar
Joint Secretary
Department of Agriculture & Farmers Welfare
Krishi Bhawan New Delhi 110001
Email ID- 
Telephone No.- 011-23384468",AIF Survey,Government Schemes,NA,AGRICULTURE,KERALA,6,5,2024
0   ,Others,2024-05-07T12:03:08.653,Others,KOTTAYAM,1082138,Kindly call 18001801551 if have any queries related to agriculture.,"INCOMPLETE CALL
",Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
0   ,Others,2024-05-07T12:06:58.08,Others,KOTTAYAM,1082139,Thank you for your response,AIF SURVEY,Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
0   ,Others,2024-05-08T14:28:58.613,Others,KOTTAYAM,1090411,Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,8,5,2024
0   ,Others,2024-05-09T09:39:07.72,Others,KOTTAYAM,1098736,AIF SURVEY,AIF SURVEY,Government Schemes,NA,AGRICULTURE,KERALA,9,5,2024
0   ,Others,2024-05-09T17:37:09.207,Others,KOTTAYAM,1098853,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,9,5,2024
0   ,Others,2024-05-10T11:42:13.747,Others,KOTTAYAM,1106333,AIF SURVEY,AIF SURVEY,Government Schemes,NA,AGRICULTURE,KERALA,10,5,2024
0   ,Others,2024-05-11T10:29:59.897,Others,KOTTAYAM,1113443,"Thank you for your response
Kindly call 18001801551 if have any queries related to agriculture.",AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,11,5,2024
0   ,Others,2024-05-11T17:54:11.33,Others,KOTTAYAM,1113506,"Thank you for your response
Kindly call 18001801551 if have any queries related to agriculture.
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,11,5,2024
0   ,Others,2024-05-13T13:48:47.263,Others,KOTTAYAM,1128709,"Thankyou for your response
Kindly call 18001801551 if you have any queries related to agriculture.",AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,13,5,2024
VAZHOOR,Plantation Crops,2024-05-13T15:48:30.19,Coconut,KOTTAYAM,1128602,Suggested to apply 100g Borax per year.,Asked about the Button shedding in Coconut.,Nutrient Management,NA,HORTICULTURE,KERALA,13,5,2024
0   ,Others,2024-05-14T10:13:44.583,Others,KOTTAYAM,1136329,Kindly call 18001801551 if you have any queries related to agriculture.,"AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
0   ,Others,2024-05-14T11:25:30.87,Others,KOTTAYAM,1136345,"Thankyou for your response
Kindly call 18001801551 if you have any queries related to agriculture.",AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
0   ,Others,2024-05-15T08:32:12.447,Others,KOTTAYAM,1144049,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,15,5,2024
PALLOM,Fruits,2024-05-17T11:13:13.19,Banana,KOTTAYAM,1158096,Suggested to apply 100g AYAR per plant.,Asked about the application of AYAR in banana.,Nutrient Management,NA,HORTICULTURE,KERALA,17,5,2024
0   ,Others,2024-05-17T11:26:20.03,Others,KOTTAYAM,1158071,Kindly call 18001801551 if you have any queries related to agriculture.,"AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,17,5,2024
ERATTUPETTA,Others,2024-05-18T06:17:42.723,Others,KOTTAYAM,1164874,There is high chance of rainfall today,Farmer asked query on Weather,Weather,NA,AGRICULTURE,KERALA,18,5,2024
0   ,Others,2024-05-18T08:09:31.887,Others,KOTTAYAM,1164877,Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,18,5,2024
0   ,Others,2024-05-19T16:49:12.913,Others,KOTTAYAM,1170997,Kindly call 18001801551 if have any queries related to agriculture.,Irrelevant call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,19,5,2024
0   ,Others,2024-05-20T10:55:54.72,Others,KOTTAYAM,1177318,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,20,5,2024
0   ,Others,2024-05-21T10:52:02.227,Others,KOTTAYAM,1183902,"Kindly call 18001801551 from Tamil Nadu registered sim,if have any queries related to agriculture.",Ireelevant call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,21,5,2024
ETTUMANOOR,Vegetables,2024-05-21T12:47:47.89,Brinjal,KOTTAYAM,1183883,Suggested to spray pseudomonas 20g per liters of water ,Asked about management of sooty mold in brinjal,	Plant Protection	,NA,HORTICULTURE,KERALA,21,5,2024
0   ,Others,2024-05-21T13:48:08.803,Others,KOTTAYAM,1183982,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,21,5,2024
0   ,Others,2024-05-22T12:47:27.23,Others,KOTTAYAM,1190613,Blank call,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,22,5,2024
0   ,Others,2024-05-23T12:19:46.063,Others,KOTTAYAM,1197008,Kindly call 18001801551 if have any queries related to agriculture.,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-23T16:44:53.08,Others,KOTTAYAM,1196984,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-23T16:47:53.627,Others,KOTTAYAM,1196990,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,23,5,2024
0   ,Others,2024-05-24T10:37:49.873,Others,KOTTAYAM,1203488,Kindly call 18001801551 if have any queries related to agriculture.,Irrelevent call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,24,5,2024
MADAPPALLY,Vegetables,2024-05-24T15:56:41,Cowpea (Vegetable),KOTTAYAM,1203506,"suggested to Spray Beauveria bassiana (20 gram/litre of water). Spray 20 gram bird pepper (kandari) extract in 1 litre cow’s urine and 10 litre of water-biological method to control podborer in cowpea
In case of severe attack, spray Chlorantraniliprole 18.5 SC (3.0 ml/litre of water)-chemical method to control podborer in cowpea
",Asked about management of podborer in cowpea,	Plant Protection	,NA,HORTICULTURE,KERALA,24,5,2024
0   ,Others,2024-05-26T15:53:44.27,Others,KOTTAYAM,1216126,Kindly call 18001801551 if have any queries related to agriculture.,"AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,26,5,2024
0   ,Others,2024-05-27T17:40:39.687,Others,KOTTAYAM,1222150,Kindly call 18001801551 if have any queries related to agriculture.,incomplete call ,Training and Exposure Visits,NA,AGRICULTURE,KERALA,27,5,2024
0   ,Others,2024-05-31T12:46:04.773,Others,KOTTAYAM,1240297,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,31,5,2024
ETTUMANOOR,Fruits,2024-05-31T21:49:51.46,Mango,KOTTAYAM,1242843,"Padding 2,4-D (1gm in 20ml soaked in sponge or oasis) kept in few nodal points of roots, after scraping the basal of parasite.",Asked about the Control of Loranthus in mango.,	Plant Protection	,NA,HORTICULTURE,KERALA,31,5,2024
ARYAD,Others,2024-05-02T16:30:56.8,Others,ALAPPUZHA,1051276,"Upload land tax receipt 2018-19,2022-23 aadhar and bank passbook",Asked query related to PM Kisan Samman Nidhi scheme,Government Schemes,NA,AGRICULTURE,KERALA,2,5,2024
0   ,Others,2024-05-03T16:57:58.743,Others,ALAPPUZHA,1055169,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
0   ,Others,2024-05-03T20:14:57.923,Others,ALAPPUZHA,1058913,--Kindly call 18001801551 if have any queries related to agriculture.,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,3,5,2024
MAVELIKKARA,Others,2024-05-04T11:46:42.263,Others,ALAPPUZHA,1061804,Kindly call 18001801551 if have any queries related to agriculture.,Incomplete call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,4,5,2024
0   ,Others,2024-05-06T08:16:22.973,Others,ALAPPUZHA,1073948,--,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,6,5,2024
0   ,Others,2024-05-06T09:14:05.243,Others,ALAPPUZHA,1073979,Thank you for your response,AIF Survey,Government Schemes,NA,AGRICULTURE,KERALA,6,5,2024
MAVELIKKARA,Condiments and Spices,2024-05-06T12:34:50.773,Ginger,ALAPPUZHA,1074159,"Apply  rock phosphate 1100 gram and Muriate of Potash 160 gram at the time of planting  for a cent.The second dose has to apply in 60 days after planting and the dosage is 325 gram urea. After 90 days apply 320 gram urea and 160 gram Muriate of Potash for a cent.
Lime or dolomite @ 1-3 kg per cent has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 120 kg/cent is recommended at planting time.",Asked about nutrient management of ginger,Nutrient Management,NA,HORTICULTURE,KERALA,6,5,2024
ARYAD,Fruits,2024-05-06T15:41:15.507,Mango,ALAPPUZHA,1073910,Suggested to spray Borax 1g/L.,Asked about the Fruit dropping in Mango.,Nutrient Management,NA,HORTICULTURE,KERALA,6,5,2024
0   ,Others,2024-05-07T10:47:57.59,Others,ALAPPUZHA,1082112,AIF Survey,AIF Survey,Government Schemes,NA,AGRICULTURE,KERALA,7,5,2024
BHARANICAVU,Vegetables,2024-05-07T11:51:16.697,Brinjal,ALAPPUZHA,1082225,Suggested to spray Planofix @ 2ml per 10 litre water.,Asked about management of bud dropping in brinjal,Cultural Practices,NA,HORTICULTURE,KERALA,7,5,2024
0   ,Others,2024-05-08T07:43:44.173,Others,ALAPPUZHA,1090368,Kindly call 18001801551 if you have any queries related to agriculture.,Irrelevant call,Government Schemes,NA,AGRICULTURE,KERALA,8,5,2024
0   ,Others,2024-05-08T14:41:45.993,Others,ALAPPUZHA,1090414,"Thank you for your response
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,8,5,2024
0   ,Others,2024-05-09T11:57:31.943,Others,ALAPPUZHA,1098769,"
Kindly call 18001801551 if have any queries related to agriculture.",AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,9,5,2024
0   ,Others,2024-05-09T17:29:08.717,Others,ALAPPUZHA,1098846,--Kindly call 18001801551 if you have any queries related to agriculture.,"AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,9,5,2024
MAVELIKKARA,Others,2024-05-10T10:55:28.57,Others,ALAPPUZHA,1106306,Suggested to contact post office,Asked about opening account in post office,Government Schemes,NA,AGRICULTURE,KERALA,10,5,2024
MAVELIKKARA,Condiments and Spices,2024-05-10T11:12:39.297,Pepper,ALAPPUZHA,1106400,Suggested to spray 19:19:19 NPK mix in pepper 5g per liters of water ,Asked about dosage of 19:19:19 NPK mix in pepper,Nutrient Management,NA,HORTICULTURE,KERALA,10,5,2024
0   ,Others,2024-05-10T15:40:20.81,Others,ALAPPUZHA,1106385,--Kindly call 18001801551 if have any queries related to agriculture.,"AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,10,5,2024
0   ,Others,2024-05-11T17:18:16.313,Others,ALAPPUZHA,1113488,"Kindly call 18001801551 if have any queries related to agriculture.
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,11,5,2024
0   ,Others,2024-05-12T10:09:32.917,Others,ALAPPUZHA,1121567,Kindly call 18001801551 if you have any queries related to agriculture.,AIF SURVEY,Training and Exposure Visits,NA,AGRICULTURE,KERALA,12,5,2024
0   ,Others,2024-05-13T15:06:33.373,Others,ALAPPUZHA,1128743,"--
Thank you for your response
Kindly call 18001801551 if have any queries related to agriculture.",AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,13,5,2024
0   ,Others,2024-05-14T11:21:00.813,Others,ALAPPUZHA,1136344,"Thankyou for your response
Kindly call 18001801551 if you have any queries related to agriculture",AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
0   ,Others,2024-05-14T12:52:42.013,Others,ALAPPUZHA,1136364,Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
0   ,Others,2024-05-14T16:27:26.803,Others,ALAPPUZHA,1136408,"Thank you for your response
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
0   ,Others,2024-05-14T16:57:07.527,Others,ALAPPUZHA,1136418,"Thank you for your response
","AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,14,5,2024
AMBALAPPUZHA,Flowers,2024-05-14T18:53:22.977,Rose,ALAPPUZHA,1136311,Suggested to spray nimbicidine and cypermethrin alternately on rose plants,Asked about management of thrips in rose ,	Plant Protection	,NA,HORTICULTURE,KERALA,14,5,2024
KANJIKKUZHY,Plantation Crops,2024-05-16T15:45:31.73,Coconut,ALAPPUZHA,1151114,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram rajphos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",Asked about the potassium deficiency in Coconut.,	Plant Protection	,NA,HORTICULTURE,KERALA,16,5,2024
